Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
1/1/2014,6278,6128485,9555,11531149,96154,29,268,10
1/2/2014,8883,6137414,11152,11543337,96203,49,66,3
1/3/2014,1230,6138709,1919,11547101,96226,23,1,1
1/4/2014,2375,6141085,3723,11550825,96247,21,14,1
1/5/2014,2798,6143883,3659,11554484,96265,18,17,4
1/6/2014,9901,6153916,13200,11569995,96287,22,30,7
1/7/2014,6669,6160649,8299,11580425,96314,27,5,4
1/8/2014,9707,6170385,11729,11593305,96334,19,28,4
1/9/2014,13911,6184353,18067,11614975,96354,20,74,10
1/10/2014,10224,6194711,13837,11633850,96398,44,49,5
1/11/2014,7983,6202694,11442,11645292,96422,24,101,16
1/12/2014,12990,6215692,18624,11663923,96451,29,350,22
1/13/2014,21410,6237158,30294,11697774,96523,72,224,31
1/14/2014,10376,6247552,13662,11711603,96569,45,45,4
1/15/2014,22511,6270115,31821,11743709,96633,64,241,30
1/16/2014,20645,6290818,27860,11771569,96712,79,208,37
1/17/2014,20931,6311814,31033,11803248,96758,67,282,34
1/18/2014,9768,6321586,15710,11818960,96799,41,176,15
1/19/2014,9313,6330899,13433,11832394,96838,39,194,13
1/20/2014,13875,6344854,19953,11853099,96895,39,133,11
1/21/2014,3927,6348809,5138,11859162,96920,34,5,1
1/22/2014,2571,6351629,5072,11868031,96928,8,4,3
1/23/2014,5361,6356990,9823,11877854,96945,17,9,1
1/24/2014,6454,6363446,9555,11887411,96960,15,15,6
1/25/2014,4491,6367938,6209,11893623,96974,14,34,0
1/26/2014,5180,6373119,6732,11900358,96995,21,37,6
1/27/2014,13611,6386882,17367,11920066,97022,27,55,18
1/28/2014,10418,6397301,13726,11933794,97048,26,18,7
1/29/2014,10374,6407706,13576,11947371,97086,38,21,6
1/30/2014,12615,6420554,17113,11965047,97115,29,42,7
1/31/2014,15124,6435679,21492,11986540,97138,23,130,10
2/1/2014,13178,6448858,21183,12007724,97162,24,349,29
2/2/2014,14312,6463172,22093,12029818,97202,40,449,10